,게시글 ID,작성일,작성자,제목,본문
47,332228,2020.12.16. 12:26,서브웨이좋아,오랜만에 올리는 람스 전후!,저는 8개월 정도 됬어요 종아리 일반 두보틀 허벅지 승마 안벅지 앞벅지 했어요 ㅠㅠ 정말 살 엄청 빠진 사람들 보다는 효과가 덜해서 아쉽지만 ㅠ ㅠ 람스 추천드려요
48,332215,2020.12.16. 07:36,노랑해,기록용 2일차,혼잣말 기록용입니다.어제는 일어나자마자 왼손보고 진짜... 짜증이 너무 났음. 너무 불어서. 오른손은 그나마 봐줄만한데..오른손 피 흘린거 빨때 너무너무너무너무 잘 빠져서 순수 피가 아니라 용액 섞인 듯.그래서 그런지 오른손은 붓기 거의 없는 것 같은데 왼손은 장난 아님.남친왈: 수액 왼팔에 때려넣어서 왼쪽이 더 부은거 아냐?음.. 맞을수도. 오른손 혈관 안 보인다고 왼손에 2.5리터 넣었음.혈관 안 보인단것도 진짜 할말 많고 짜증났다. 여태 살면서 (링거도 몇번 맞아봄) 혈관 못 찾은적 딱 한번 았는데간호사 친구왈 : 너는 던져도 바늘 들어가점점 아랫배가 묵직하게 무겁게 느껴짐. 물 많이 마시라고 시켰는데 안 시켰어도 갈증나고 화장실로 얼른 배출시키고 시켜서 많이 마셨을 듯.최소 1.5리터는 마시랬는데 (권장 2) 깜박하고 안재고 마셔서 얼마나 마신진 모르겠음. 최소 1리터는 마신듯.어제 멍크림 바르면 좋다해서 바르고 압박복 입었는데 효과 좋았으면 좋겠다..왼쪽 2장은 같은 날인데 각도/거울 차이로 좀 달라보이는 듯.같은 자세로 찍고 싶었는데 시술하고 나니까 몸이 부어서 자동으로 차렷이 안됨.. 애매하게 팔이 붕 뜸.그러면 당연히 더 얇아보일테니까.. 앞으론 어케 비교 촬영할지 고민해봐야겠음.손 부은거 찍을 생각 없었는데자고 일어나니 (12.16) 왼손 또 부워있음 10알......나 원래 엄지-검지 링으로 손목 다 잡을 수 있었는데오른손은 엄지-중지 / 왼손은 엄지-중지로도 안됨배는 팬티에 숨겨지는 아랫배쪽만 살짝 멍 있음. 부은게 불편한거랑 걸을때 흔들릴때마다 아픈거 말곤 글쎄?근데 팔 멍 너무 심각함.애초 그제 시술대 누워있을때 뒷정리해주는 분이 드레싱 하기 전부터 멍이 올라왔음;;어제 58찍은거 보고 몸무게 재기 싫었는데... 이런거 남겨두는게 맞는것 같아서 찍었다가 10......몸무게가 직전대비 3.1키로 늘었다고 나 맞냐고 물어봐주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
49,332185,2020.12.15. 23:44,팡디이,"지방추출주사 1년 후, 꽃길만 걷고있는 요즘~",ㅋㅋㅋ 사진올려두고 민망한 시츄에이션... 내복없으면 요즘 살수없어요... 영하로 떨어져서 뼈가 시리다니까요 ㅠㅠ ...유니*로가서 미리미리 쟁겨두었던 히트텍 입고다니느데... 되게 없어보이네요... 쩝.. 그취만~~~? ㅋㅋㅋㅋㅋ 라인은........넘맘에들어.............어뚜카지....ㅠㅠ지흡시술 받은지 정확히 1년 2개월차 유지어터인데여~팔뚝+허안+승마 세부위가 얼마나 바디라인을 좌지우지하는지...새삼깨닫네요~제가 복부는 워낙 술을 좋아해서.ㅋㅋㅋ...시술받고 실패하면 돈아까우니까 운동하면서 자연스럽게 술도 좀 줄이다보니..복부야뭐.. 술배라 쭉쭉빠진거고.. ㅋㅋㅋ팔다리는 진짜 별의별 운동 다해봐도..근육만붙어서 되려.. 이러다 근육돼지만 되겠구나..싶을정도였거든요... 운동만 해서 살뺄때는 사이즈는 일절 줄지도않았었어요 ㅠㅠ사실 1년전에 처음 병원가서 살빼보자 했을땐팔만할 생각에 충동적으로 예약햇는데 ...1년동안 세 부위나 할줄은.....꿈에도...ㄷㄷㄷㄷ;;;근데모.. 다들 얼굴 성형 여기저기 하는데 ... 뭐 췟.. ㅋㅋㅋ...하고는 질렀는데 하고나니 진짜 꽃길인생이 펼쳐질줄이야.... 29년동안 워~~~낙 많은 각종 다이어트 실패의 쓴맛을 맛본 몸이라 ... 탄력을 잃어서 시술전부터도 진짜 그부분이 제일 걱정이었고 신경쓰였었거든요.지방은 어찌어찌 뺀다치더라도... 살가죽이 ...늘어지면 어쩌나하고요... 그래서 지방추출주사 후 다들 후관리 병행한다는말이 딱맞았어요!다니고 있는 병원이 패키지가 잘되있어서 부담도 없기도했고 ㅎㅎㅎ혼자 식이조절어찌어찌하면서... 운동도 또 워낙 싫어해가지고 pt도 없이 혼자서 깨작깨작하면서.. 뺏더라면.. 아마 지금 저렇게까진 탄력적인 라인이 연출되진 못했을것 같아요.요즘 코로나때문에 운동도 못가서.. 살찔까 두려워 스트레스 이만저만아닌데.. 그래두 나름 병원서 약하게나마 식욕조절제도 좀 처방받고 하니.. 한결 맘도 편하고지금은 처진살관리중이라 지금 울핏받은지도 딱3주됬는데~ 짱짱하게 탄력도 곧잘붙어보여서 안심 또 안심중이에요ㅋㅋㅋ다이어트 하면서 새로운 습관이 하나 생긴게... 방에다 전신거울 비치해두고 ㅋㅋ 밤낮으로 눈바디하면서 꼭꼭 바디체크하고 잠들곤해요.. 그래야 심적으로 안심이 된달까... ㅋㅋㅋㅋ... 근데 어떡하져... 울핏.....ㅠㅠ 효과 너무 좋은데... 점점 지갑사정에 한계가... 흑... 어떡하죠.. 하는김에 확실히 더 받을까요......? 고민고민... (- -)(_ _) (- -) ☞☜....
50,332172,2020.12.15. 19:13,zzxx,숫자병원 수원,수원 숫자병원에서 허벅지 무한람스 하신분 어떤 원장님께 하셨나요?? 아무래도 대표원장님이 제일 좋겠죠??
51,332153,2020.12.15. 15:21,으하나,단단한 살인데 람스 받으신 분 계세요?,"수술 예약 걸어놨는데,제가 단단한 살(단단한 지방)이라서 람스 효과 없을까봐 걱정이에요ㅠㅠ"
52,332152,2020.12.15. 14:44,다올다옴,소다팻 5일차 후기,안녕하세요~ 람스예약했다가 위약금 물고 취소 ㅋㅋㅋㅋㅋMPL 1회 했지만 유예하고 결국 추출 주사 하고 온 후기 입니다. 여기서 정보도 열심히 얻었는데 저도 정보 드리고 싶어서 올려요! 복붙했더니 사진 또 재편집해야되서 링크 올려요~ https://blog.naver.com/daalldaom/222177969156[내돈내산][내돈내몸] 소다팻 5일차 후기안녕하세요~벌써 소다팻 한지 5일차입니다. 소다팻 당일 후기https://blog.naver.com/daalldaom/2221...blog.naver.com
53,332147,2020.12.15. 13:08,우육탕면,"허벅지 3개월차, 붓기가 계속빠져요!","<<<시술전     시술후>>>추석직전 9월말에 시술받구,오른쪽사진은 12월 11일이에용!!!!!지금 12주차 딱 됬는데 ㅠㅠㅠ 허벅지 진짜 너무 예뻐졌죠 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 자랑하러 눈누난나 왔습니당 ㅋㅋㅋㅋㅋㅋ첫3회후관리 끝나고나서큰맘먹고 시술받은김에 돈 더 투자해서 후관리계속 받자!!!하고 패키지로 계속 카드슬래쉬하고있는데ㅋㅋㅋㅋㅋㅋ정말 후관리 돈값하는것같아용 ㅋㅋㅋㅋㅋㅋㅋㅋ람스 시술받고 6주차쯤에 정체기한번 왔다가지금은 계속 사이즈감량중이거든용 ㅎㅎㅎㅎ진짜 신기한게 체중은 별로 변화없는데사이즈는... 계속 감량되는 마법...... 넘신기하구요 ㅋㅋㅋㅋㅋㅋ람스 고민하시는분들 고민그만하고 꽃길걸으셨음좋겠다.....저도 지흡이랑 람스중에 엄청고민하다 받은건데 넘 만족스러워요 ㅠㅠㅠ"
54,332144,2020.12.15. 12:03,노랑해,무한람스 기록용 1일차,"기록용 후기입니다.진짜 느낀대로만 적을거고 생각나는대로 적어서 두서 없을 수도 있어요.12월초에 상담가서 즉석에서 계약금 10% 결제본래는 팔뚝만 하려 했는데 상담하는 분이 러브핸들도 있다고, 하면 다들 만족한다고 영업해서 럽핸들도 같이 한다고 함.예약금 결제 후 며칠 후기 보며 생각해봤는데나는 아랫배가 더 심하지 않나? 싶어 상담사에게 문의 카톡함.상담사는 그러면 아랫배 + 럽핸들3보틀 이렇게 해도 ㄱㅊ다고 함.고민한 채로 어제 원장님 뵈었고다들 라인 사진 찍어오던데ㅠ 나는 핸폰 반입 금지라고 라인만은 못 찍음.원장님도 럽핸들 없는 편이라 아랫배가 하는게 낫겠다고 해서 아랫배로 바꿈.마취주사랑 항생제 주사?아팠지만 아픈 엉디주사 정도.팔용액 넣을때 아프다, 불쾌하다 한거 뭔지 알겠음오른쪽 먼저하고 끝나갈 무렵 왼쪽도 해야한다니.. 무섭다..원장님이랑 뻘소리 할때 저런 말 했고. 다들 그 소리 한다고 함.왼쪽이 더 아파서 ???? 했는데오른손잡이라 그럴수도? 다들 왼팔 아파한다고 함.아니 그럼 왼팔먼저 했으면 좋았을텐데ㅠㅠ정확한 보틀수는 기억 안나는데 한쪽당 10보틀 정도 나옴. 근데 주사기 꽉꽉 채우진 않았어서 실제론 -1보틀 해서 생각해야할듯.9인가 11인가??아랫배10명 중 1명꼴로 팔보다 배가 아프단 사람 있다고 원장님이 말씀하셨는데그게 나였음.... 아파서 엉엉 울었음. 진짜. 근데 울어도 멈추지 않는 원장님 대단해...아니 한번 멈추긴 했음. 지금 들어갈 부위가 아픈데 지나갈거라고... 알려주실때..팔 아픈건 애교였음.사람들 중엔 넘 아파서 그만한다고 울고불고 해서 어르고 달래며 하는 경우도 있다던데나는 그 정도 아니라서 이만하면 잘 받은 편이라고 함... 저.. 울고불고 소리치고 난리였는데요...?끝나고 주의사항 알려주시고 궁금한거 물어보고..식단은 3일정도는 일반식유산소는 바로 해주면 좋음. 이때 유산소는 빠르게 걷기.운동 유투버중에 유산소지만 스쿼트하고 팔운동하는 (땅끄부부 칼로리 폭파) 그거는요?그정도는 ㄱㅊ다고 하심요가정도 가벼운 근력도 ㄱㅊ다고 했지만 바로는 힘들거다.아령드는 근력운동은 최소 2달뒤. 이건 못 박으심.압박복 입으면 멍완화에 좋다해서 샀는데 진짠가요?3일정도는 입으면 너무 좋다고 함. (상담사는 필요 없댔는데 ㅎㅎ;)월요일 했으니까 수요일 벗나? 했는데 목요일 오후까지 하라고 하심. 잘때도.샤워는 가급적 목요일 오후에.중간 샤워는 머리감는 정도로 일상을 위한 최소화 정도만.혹시 완전 샤워 한다면 구멍위치 잘 말려줘야한다함.그러고 간호조무사분이 뒷정리 해줄때... 혼절함.눈떠보니 정신 드냐는 말 들음.누우려 했다가 정신 잃은 것 같다고 말함.잠깐 몇분정도 혼절했다고 함.급하게 원장님 부름.수액 맞고 경과 지켜보자. 보통 1팩. 많으면 2팩 맞는다고 함.1팩맞고..11시 반 예약인데 내가 11시 15분쯤 갔고 못해도 12시부터 시술 시작했다치고. 정신 제대로 박혔을때고 16시정도. (1팩 맞던 중)수액은 대충 3시반쯤부터 맞음.남자친구 연락해서 오라고 함. 정말 잘했지... 1팩 맞는데 1시간 반 걸림.1팩맞고.. 압박붕대보다는 압박복 입는게 좋다고 해서 탈의실 갔다가... 또 기절함.남자친구가 들어서 침대로 옮김.2팩 시작18시에는 집에 가나 했는데 여전히 위험.자다깨다 자다깨다 반복.19시 50분쯤. 람스건물은 20시 마감이라해서 짐챙기고(남친이) 옆건물 병동으로 감.갠적으로 같은 간호조무사라도 병동쪽 분들이 더 친절.수액 이미 2팩 맞은 상태에서 포도당 섞은거 맞니 어쩌니 하는데 한쪽에선 늦었단 소리도 들리고 차라리 밥 먹는게 낫다고 (10시간 이상 공복이라)이때 물어봤는데 그동안 맞은 2팩은 전해질 섞인 물같은 거고병동와서 맞는게 뭐라더라 혈당 아닌데.. 암튼 체내 무언가와 비슷한 성분이라 했음.중간중간 오렌지주스 하도 마셔서 나 피곤하면 마시는게 오렌지 주스인데 질려서 집와서 안마심.10시 되어서야 겨우 죽 먹고.. 이쯤부터는 혈압도 그나마 봐줄만해져서 택시타고 집 옴. 택시탄게 23시 직전.혈압하니까 처음 잰게 최대8n 최저4n? 아무튼 심각한 상태였다.집오기 직전에 잰게 109 / 60병원에서도 오른쪽 팔꿈치는 피가 하도 새서 거즈 3번 갈았는데 자고 일어나니까 또 피나서..또 갈았음 ㅠ압박복 빨아야 하는데 이럴줄 몰라서 하나만 사둬서 그냥 입고 버리든가 해야지...아 압박복은 집오기 직전에 병원에 있던 간호조무사분이 입혀주셨음.거즈 갈려고 혼자 입는데 진짜... 힘들다. 팔 하나 넣는데 10분 걸렸어.첨에는 일반식 먹으랬는데나 상태 심각해서 (구토도 2번함)유동식 먹으래서 죽 시킴그 사이에 몸도 장난아니게 불어서 압박복도 5~7일 입으면 좋겠다고 날짜 늘어남ㅋㅋ;;진짜 들은 생각무한람스 끝나고 친구 만났다? 일터갔다? 남편몰래? 3진에바로 기각되었습니다.내가 유난히 약물에 예민한 케이스라곤 하는데...링거맞고 토한 전적은 있음.그때 속 진정 링거 추가로 맞으면 진정되었음.근데 여기선 추가적으로 속 완화시켜주는 엉디주사 맞았는데 또 토했음.후기들 찾아보면 다들 좋았다 간편했다 소리만 가득해서싹다 사기죄로 고소해야하는거 아냐??? 생각까지 했음.내가 병원 들어간게 11시 15분쯤? 인데 택시타러 나온게 23시 5분전쯤?그마저도 남친 아녔으면 더 딜레이 되었을듯;약국도 내가 못가고 간호조무사분이 다녀왔고후불제 결제도 남친이 했음..허벅지 안쪽 생각 있었는데거긴 누가 맞아도 다 아프다고 해서 그냥 하비로 살기로 함.남친은 : 그래도 효과 개쩔어서 또 하고 싶어지면 어케해?라던데그나마 덜 아프다는데 해서 잠깐 기절한거지 허벅지 했다가 그대로 구급차 실려가면 어케해원래 몸무게 55인데 집오니까 58.n 나왔음. 약물 개쩌나봄.오른손은 그래도 뭔가 할만한데 왼손은 땡땡 부어서 힘듬  호빵맨 손인줄;자고 일어난 지금은 57나옴."
55,332078,2020.12.14. 16:05,머리가띵하니,얼굴살만이라도 어떻게 하고싶네요 ㅠㅠ,겨울이랑 몸은 가리고 다니면서 어떻게 해보겠는데 얼굴이 문제에요 특이 이 이중턱이요 ㅠㅠ턱주변에 왜케 살이 만은건지 보통 턱선 있는데도 꼬집으면 살이 이렇게 집히나요??저는 진짜 두껍게 집혀요 ㅠㅠㅠㅠ어차피 마스크 쓰고있는김에 뭐라고 하고 싶은데수술은 무섭고 .. 윤곽주사라도 도전하고싶어요 혹시 효과보신분 있으시면 추천좀 부탁드려요 스테로이드 없는걸로요 ㅠㅠ
56,331941,2020.12.12. 20:02,fast9,팔뚝 지흡주사 16주차 돌입!!이거 정말 개미지옥 맞네요 ㅠㅠ,안녕하세요!요즘 연말이라 그런지 한주가 왜이렇게 자주 돌아오는지 모르겠어요이렇게 또 한살이 늘어나네요 흑흑올 여름에 정말 팔뚝 지흡주사 대성공하고 코로나에 헬스장도 거의 못갔는데도 시술 도움받아 다이어트 대성공하니 이제 슬슬 복부가 눈에 들어오네요 ㅎㅎㅎ전후사진 이어 붙일 때마다 정말 놀랍고 이게 살이 붙어도 팔뚝만큼은 살이 안붙더라구요?? 시술전엔 다른곳은 다 빠져도 팔뚝만큼은 안빠지더니 정말...역시 시술이 답이구나 했어요ㅎㅎ위사진 왼쪽은 시술 직전 탈의실에서 찍은 사진이에요 ㅎㅎ저렇게 뒷볼록이라고 하나요..?저게 툭 튀어나와서  민소매는 절대 못입었는데이젠 운동한답시고 팔뚝 드러나는것도 입어보네요 ㅎㅎ팔뚝을 해보니 이제 복부는 겨울이기도 하고 티도 안날것같아서 강력하게 끌리네요ㅠ_ㅠ이게 불과 두어달 만의 결과라는게... 믿어지시나요 ㅠㅠ 아유 저 정말 다시는 왼쪽으로 안돌아가려구요ㅠ_ㅠ헬스장도 못가니 홈트라도 잘 해야겠어요ㅠㅠ오늘도 복부 후기 사진 들여다 보고 갑니당....ㅠㅠㅎㅎㅎㅎ
57,331932,2020.12.12. 14:26,karen26,"팔 무한람스 당일,2일차 후기","어제 팔 무한람스 받았어요 어제는 압박 붕대 칭칭 감고 잇다가 오늘 아침에 풀었어요 다들 람스 하세요... 저 아침에 너무 깜짝 놀랏어요 시술시 총 13바틀 , 한쪽당 6.5바틀씩 추출 했어용바로 후기 사진 보여드릴게요!!!!아직 약물이 남아 있어서 약간 울퉁불퉁해 보이는데 시술전사진보면 튀어나오는 살이 없어요....이거 실화맞겠죠? 근데 아직 멍이 다 안들어서 걱정반 기대반이네요 병원에서 주신약 잘 발라야겠어요ㅎㅎ"
58,331895,2020.12.11. 22:39,햄볶하세욥,고민하다 지방주출주사? 후기입니다!ㅎㅎ,"오늘로써 2주가 살짝 지난 후기네용~ 지흡을 솔직히 하고싶었는데 ㅠㅠ 비용도 그렇구, 가족들 몰래 해야하는바람에 선택의 폭이 그리 넓지가 않아서 고르고 선택한게 다운팻이라는거엿어요 ! 여기서 눈팅하다가 신촌 ㅇㅅㄹㅈ 대용량 지흡으로 유명하다해서 알아보던중에 지흡은 못햇구 ㅠㅠ 주출주사로 선택햇어여 ㅠㅠ 흑 아쉽 ㅠㅠ팔+복부를 동시 진행했구요 수면마취로 진행했습니다.자고 일어나니 다 끈나있더군요- 여기서 1차 감동!! ㅋ 수술전에 원장님이 그려놓으신 라인들을 어쩜 그리 ..싹다 지워주셧더라구요 ㅠㅠ 예전에 한번 복부 한적있었는데 이런적없었는데 일단 여기서 감동먹었습니닷!! 넘 감사해요 ~ ^^ㅋㅋㅋ 일단 지흡이 아니기에 팔이며 복부며퉁퉁 부어있는게 느껴졌는데 그래도 전 몰래 성공했다는거에 만족하며..ㅋ 복부는 그래도 안보이니 살만한데 팔이 움직움직 이느라 조금씩 불편하긴 한데 죽을정도는 아니엿어요 ㅋㅋ 총해서 복부랑 팔이랑 3000CC정도 뽑은거같은데.. 제가 만지기에는 참 많이 느껴지는데 사진상으로는 잘 안느껴지네용 ㅠㅠ 언제 언제 하루가 지나가나 햇는데 벌써 2주가 지나갔네요 살만하니 이제 허벅지가 눈에띄는데.. 가족이 알면 쫓겨나기에.. 또스물스물 괜찮아지면 조금씩 조금씩 뺴볼랍니다 ㅋㅋ 200% 만족엔 지흡을 해야하겟지만 !  그래도 몰래한거치곤 전 정말 만족여 ㅋㅋ 티안나게 조금씩 뺄꺼거든요 ㅋㅋ ^^앞으로 3개월차까지 천천히 빠지겟죠? 복부도 아직 바본? 이라고 해야하나 딱딱한게 있긴하지만 , 아픈정도는 아니라 천천히 홈트를 하면서 열씨미 여름이 올때까지 열씨미 하렵니다! 세상의 모든 다이어터들 화이팅입니닷!!  ^^ "
59,331867,2020.12.11. 17:37,이번생엔,복부무한람스 18주차 + 허벅지무한람스 한달차! 드뎌 올리는 허안승마 비교 후기,안녕하세요~ 그동안 복부만 후기 올리다가허벅지 이번주 4주차로 카페 첫후기 올려봅니당ㅎㅎ저두 허틈 생겼어여ㅠㅠㅋㅋ 평생 가져본적없던 허틈쓰 ㅋㅋ 승마는 시술 2주차에 붓기빠지자마자 바로 티가 나더라구여 허안은 바본 심한편이구 주차별로 점점 빠지는중입니다 ㅎㅎ셀룰 진짜 심하져ㅠㅋ 리얼 저보다 심한분 본적없음.. 후관리 기본 끝나고 바본땜에 체충4회 추가했는데 상담쌤이 체충이 셀룰에 효과적이라고 하시더라구요!!요것도 효과보면 비교후기 올려볼게용ㅎㅎ
60,331860,2020.12.11. 16:26,ㄱㄴㄷ,지펫 한달뒤~!!,지펫 수술 한달뒤 다리 사진 공유해요~심한 Y자 라인으로 청바지 입는게 소원이였는데..저 곧 입을 수 있을것 같아요? ㅎㅎㅎ전에 2주뒤 사진 올렸는데.. 그때보다 조금씩 라인이 잡히는 느낌이예요^^3달 동안은 쭈~~~~욱 빠진다고 하니까 완전 기대가됩니다ㅎㅎ 흰티에 청바지 입는 그날까지~ ㄱㄱ☆before☆☆first day ☆☆2 weeks later☆☆4 weeks later☆
61,331840,2020.12.11. 12:09,은지j,복부시술세달차 후관리중에요!,10월 12일 시작으로 이번에 딱 세달차네용오늘 사진 찍은건데하마배에서 아가배로 변했어용복부하니까 등쪽 살도 같이 할걸 쪼꼼 후회되서 좀 고려해보려구요허리둘레는 3cm 줄었구요체충은 4회정도 했는데확실히 뭉침이 줄고 살이 말랑해져서앞으로 좀 더 받구 더 효과보려구요 이제 연말이라 ..하긴 코로나이긴 하지만.. 술적덩히 먹고 체중관리에 신경써야겠어요 후 / 전같은옷 다른느낌입니당!!
62,331805,2020.12.10. 20:43,알밍밍,켈로이드일까요?, 겨드랑이 시술부위에요 오른쪽인데 저렇게 주변이 울룩불룩 올라와서 간지러워요ㅠㅠ예전에 피어싱해서 살이 튀어나온적은 있는데 병원가서 잘 제거햇고 켈로이드라는 얘긴없었는데 일단 시술할때 적긴햇거든요ㅠㅠ단순히 밴드마찰때문에 올라온건지 접히는 부분이라그런지 괜히 불안하네요연고라도 사다 바르는게 나을까요?
63,331800,2020.12.10. 19:27,강양아ㅇ,허벅지람스,허벅지람스하고 한달하고 2주차데 체중이랑메조관리받고 있는데 둘레는 -4밖에 안빠졌네요ㅠㅠ 왜이리 효과가 없을까요ㅠㅠ 돈도 한두푼도 아닌데  우울해지네요...
64,331748,2020.12.10. 02:06,wwwonb12,람스하고 3일 뒤,걷는 거나 앉는 거 불편한가요 ? 멍도 많이 심한가요 ?????? 데이트 가능한가요 ㅠㅠ
65,331671,2020.12.09. 13:47,요를레이,팔뚝미니지방흡입하려고 마음 먹었어요!,"지방분해주사도 별로 효과 없다는 말도 있고 그래서팔뚝미니지방흡입으로 할까 생각중이거든요..ㅠ_ㅠ압박복도 안 입어두 되고.. 일 할 때 불편하지도 않을 거 같아서일단 람스랑 룩팻 리포샷 디팻 이렇게 네 개 봤어요!지방흡입하게 되면 아무래도 며칠 쉬는게 좋을 거구요..바로 일상생활 가능한 걸로 찾았었거든요!혹시 팔뚝미니지방흡입같은 시술 받으셨을 때, 따로 뭐 불편했던 증상 같은거 있을까요?"
66,331598,2020.12.08. 17:10,그레이스냥,내장지방 빼기 가능하더라고요!,10월에 올챙이 같은 배로 확찐자가 되어서 복부무한람스한다고 막 올렸었거든요.다른 분들 한 것도 구경하고 그랬는데.저도 엄청 빠졌었어요. 그런데 술살로 확찐자가 된 저는.. 이게 다 내장지방라서 저 후관리 한번 더 받기로 마음 먹고 후관리 지금 두번 받았어요. 체외충격파!! 아직 술은 다 줄이진 못해서 몸무게와 사이즈가 좀 더디긴 하지만 ㅎㅎㅎ 그래도 많이 빠졌죠? 참고로.. 자주색 원피스는 제가 좋아하는 여름 원피스로..람스전이고요..두번째는 복부무한람스 하고한달 조금 안됐을 때세번째는 바로 며칠 전 ㅋㅋ그런데.. 두번째랑 세번째는 같은 옷이라는 사실 ㅋㅋ등 떡때 봐요 ㅠㅠ 속옷 위 라인들 삐져나온 살들 무엇 ㅠㅠ 전 복부무한람스 하나 했는데....내장지방 빠이빠이 하고...본연의 옷태를 찾아가고 있어용 꺄아 ~
67,331503,2020.12.07. 14:50,또쏨또쏨,람스 후....딱딱한거 ㅠㅠ,저번주 금요일에 허안 승마 러브핸들 람스했는데용다른데보다 허벅지 안쪽이 너무 붓고 딱딱한데 ㅠ0ㅠ많이 걸어주면 풀릴까요?ㅠㅠㅠ 람스 후 운동 어떻게들 하셨나요?? 
68,331492,2020.12.07. 12:56,시씨히,"지방분해주사,피임약",경구피임약 복용하면서 지방분해주사 맞아도 되나요??워낙 생리불순이 심해서 복용하고있는데ㅠㅠ
69,331490,2020.12.07. 12:25,tq0125,ㄹㅅ 효과,구글이랑 인터넷 찾아보니까 ㄹㅅ 효과 없다고 하는 사람들이 엄청 많더라구요...좋다는 글을 다 광고라고 하던데 진짜 어떤가요 효과가..? 한두푼이 아니라서 걱정되네용 ㅠㅠ
70,331478,2020.12.07. 10:35,나너엉,지방추출주사 1주차 후관리 받고 왔어요,"저번주에 지방흡입 전문병원에서 지방추출주사 시술 받고 1주차 후관리 체외충격파 받고 왔어요!언제가도 친절하세 설명해시는 선생님들 덕분에 안심이 됩니다 ㅜㅜ 그리고 무엇보다 더 좋은점 ,, 허벅지 둘레가 일주일만에 4cm나 줄었대요 ㅜㅜ 몸무게는 1.1키로 밖에 안 빠졌는데 엉엉 너무 행복해요체외충격파 받을 때 아플까봐 겁먹었었는데 받는 동안 뭉침 풀리는 기분이여서 마사지 받는 것 같았어요 너무 시원했어요 후관리로 체외충격파 너무너무 추천드려용! 다음주 2주차 후관리로 지방분해주사 맞기로 했어요 또 후기 들고 올게요😄"
71,331466,2020.12.07. 00:35,냥댕이2,참치에서 인간으로 탈바꿈한 후기 (복부둘레 - 9.5cm),"존재하지 않는 이미지입니다.여러분을 이끌 썸네일 BMI기준 20정도의 보통 몸인데 배에만 살이 있어서 친구들이 참치로 태어나라고 놀렸었어요.참치뱃살은 비싸기라도 하지 제 뱃살은 줘도 안가질텐데 ㅠㅠㅠ 운동도 해보고 식단도 해봤는데 안되길래 올해 초쯤, 앞복부 람스로 전부 조져버렸습니다.엄청난 효과보고  11월 중반, 러브핸들도 마저 조져버렸습니다.  코로나때문에 회식도 없고 술마실일도 없어서 다행히 관리하기가 쉬웠어요.몸무게로 따지면 많이 줄지는 않았는데 (약 2kg정도) 둘레는 앞복부 포함 벌써 9.5cm가 빠졌어요.  러브핸들은 아직 시술한지 삼주 가량 지나서, 붓기랑 뭉침이 있는데도 불구하고 벌써 사이즈가 빠지고 있어요.옷입는 태가 다르다 보니까, 자꾸자꾸 이쁜 옷 입고싶고 겨울인데 붙는옷 입고 싶고 그러네요 ㅋㅋ 제가 처음엔 식욕억제제 먹으면 잠이 안와서 한참 고생했었거든요.그런데 의사선생님이 차라리 약을 바꿔보는게 어떻겠냐 하셔서 체인지 했거든요.잠이 훨씬 잘오는거에요. 원래는 아침에 한 알 먹어도 잠이 안왔는데 지금은 점심에 먹어도 잠도 잘 와요. 맞춤형으로 이렇게 저에게 해주시니까 너무나도 감사하고 식단관리도 더 잘 되는것 같아요.친구들은 이제 저더러 참치에서 인간형 됐대요. 남자친구는 빼쩍 말라서 어떡하냐고 자꾸 뭘 먹이려고 해요. 일부러 뺀건데 히히히 여러분들은 조심하세요.진짜 람스가 개미지옥인게 한번하면 계속 하고 싶어요. 제 정면사진이랑 뒷면사진 올리구 갈게요.아직 3주밖에 안지났는데도 벌써 등이랑 복부 중간에 일자 보이세요?잘 안들어가던 옷도 이제는 뭐 되게 예쁘게 잘 들어가지고 넘 ㅜ행복해요이 레깅스가 처음엔 잘 안맞아서 엄청 주름지게 입었는데 이젠 매끈하게 잘 들어가지네용 돈벌어서 이런데 쓰지 언제쓰겠어요 ㅋㅋ 그쵸?존재하지 않는 이미지입니다.존재하지 않는 이미지입니다."
72,331442,2020.12.06. 21:03,유니비비,람스 후 람스한 부분에만 살찐분들 계신가요,"남들은 람스하고 나면 그 부분만 살이 더 안찐다는데,,전 어째 점점 그 부분만 찌는거 같아요ㅠ람스한지 6개월 정도 됐고,물론 람스할때보다 2키로 정도 찌긴 했는데요2키로가 이렇게 티날정도인가 싶네요저 같은 분들 계실까요ㅠ"
